Date : 2026-05-26 09:00:31
Directory : /home/bashar/Projects/algonaid_mobile_app
Total : 329 files,  64684 codes, 813 comments, 2646 blanks, all 68143 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/drawable/launch_background.xml                              | XML        |          4 |          7 |          2 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/values-night/styles.xml                                     | XML        |          9 |          9 |          1 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/main/res/values/styles.xml                                           | XML        |          9 |          9 |          1 |         19 |
| /home/bashar/Projects/algonaid_mobile_app/android/app/src/profile/AndroidManifest.xml                                          | XML        |          3 |          4 |          1 |          8 |
| /home/bashar/Projects/algonaid_mobile_app/android/gradle.properties                                                            | Properties |          3 |          0 |          1 |          4 |
| /home/bashar/Projects/algonaid_mobile_app/android/gradle/wrapper/gradle-wrapper.properties                                     | Properties |          5 |          0 |          1 |          6 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/Trophy.json                                                            | JSON       |     28,515 |          0 |          0 |     28,515 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/Trophy2.json                                                           | JSON       |      5,178 |          0 |          0 |      5,178 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/gold_medal.json                                                        | JSON       |      6,027 |          0 |          0 |      6,027 |
| /home/bashar/Projects/algonaid_mobile_app/assets/lottie/gold_medal2.json                                                       | JSON       |      4,998 |          0 |          0 |      4,998 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/google-icon-logo-svgrepo-com.svg                                          | XML        |          2 |          0 |          0 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding1.svg                                                           | XML        |          1 |          0 |          1 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding2.svg                                                           | XML        |          1 |          0 |          0 |          1 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding3.svg                                                           | XML        |          1 |          0 |          0 |          1 |
| /home/bashar/Projects/algonaid_mobile_app/assets/svg/onboarding4.svg                                                           | XML        |          1 |          0 |          0 |          1 |
| /home/bashar/Projects/algonaid_mobile_app/devtools_options.yaml                                                                | YAML       |          3 |          0 |          1 |          4 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/AppDelegate.swift                                                         | Swift      |         12 |          0 |          2 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                          | JSON       |        122 |          0 |          1 |        123 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json                        | JSON       |         23 |          0 |          1 |         24 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                            | Markdown   |          3 |          0 |          2 |          5 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Base.lproj/LaunchScreen.storyboard                                        | XML        |         47 |          1 |          1 |         49 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Base.lproj/Main.storyboard                                                | XML        |         25 |          1 |          1 |         27 |
| /home/bashar/Projects/algonaid_mobile_app/ios/Runner/Runner-Bridging-Header.h                                                  | C++        |          1 |          0 |          1 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/ios/RunnerTests/RunnerTests.swift                                                    | Swift      |          7 |          2 |          4 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/json_test.dart                                                                       | Dart       |         38 |          0 |          3 |         41 |
| /home/bashar/Projects/algonaid_mobile_app/lib/auth_gate.dart                                                                   | Dart       |         26 |          0 |          6 |         32 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/README.md                                                            | Markdown   |          8 |          0 |          4 |         12 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/language_type.dart                                             | Dart       |         11 |          0 |          2 |         13 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/lesson_status.dart                                             | Dart       |          4 |          0 |          3 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/password_strength.dart                                         | Dart       |          1 |          0 |          1 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/enums/user_role.dart                                                 | Dart       |         15 |          0 |          2 |         17 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/extensions/lession_status.dart                                       | Dart       |         66 |          1 |          6 |         73 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/extensions/theme_helper.dart                                         | Dart       |         34 |         12 |         13 |         59 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/common/type_def/typesdef.dart                                               | Dart       |          1 |          8 |          5 |         14 |
