"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\my_courses_section.dart", "Dart", 89, 0, 5, 7, 101
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\sliver_appbar.dart", "Dart", 223, 0, 0, 18, 241
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\courses\presentation\widgets\welcomeNewUserCard.dart", "Dart", 124, 0, 6, 9, 139
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\datasources\exam_datasources.dart", "Dart", 109, 0, 0, 16, 125
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\datasources\exam_local_data_source.dart", "Dart", 84, 0, 0, 15, 99
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\datasources\exam_mock_data_source.dart", "Dart", 188, 0, 0, 27, 215
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\datasources\exam_remote_data_source.dart", "Dart", 70, 0, 0, 12, 82
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\models\exam_model.dart", "Dart", 36, 0, 1, 4, 41
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\models\exam_models.dart", "Dart", 313, 0, 14, 27, 354
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\models\exam_models.g.dart", "Dart", 251, 0, 4, 28, 283
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\models\option_model.dart", "Dart", 22, 0, 1, 4, 27
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\models\question_model.dart", "Dart", 34, 0, 1, 4, 39
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\data\repositories\exam_repository_impl.dart", "Dart", 157, 0, 0, 15, 172
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\entities\exam.dart", "Dart", 27, 0, 1, 4, 32
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\entities\exam_entities.dart", "Dart", 219, 0, 6, 20, 245
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\entities\option.dart", "Dart", 17, 0, 1, 4, 22
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\entities\question.dart", "Dart", 25, 0, 1, 5, 31
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\repositories\exam_repository.dart", "Dart", 14, 0, 1, 2, 17
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\usecases\exam_usecases.dart", "Dart", 49, 0, 0, 13, 62
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\usecases\start_exam.dart", "Dart", 20, 0, 0, 7, 27
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\domain\usecases\submit_exam.dart", "Dart", 21, 0, 0, 7, 28
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\pages\exam_intro_page.dart", "Dart", 72, 0, 0, 10, 82
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\pages\exam_page.dart", "Dart", 280, 0, 11, 17, 308
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\pages\results_page.dart", "Dart", 110, 0, 0, 13, 123
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\providers\exam_provider.dart", "Dart", 258, 0, 19, 35, 312
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\widgets\exam_intro_content.dart", "Dart", 230, 0, 0, 11, 241
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\widgets\exam_widget.dart", "Dart", 398, 0, 13, 17, 428
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\widgets\results_actions_section.dart", "Dart", 78, 0, 0, 4, 82
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\widgets\results_questions_review_section.dart", "Dart", 272, 0, 0, 14, 286
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\widgets\results_statistics_section.dart", "Dart", 100, 0, 0, 7, 107
"c:\Users\Bashar Al-himyary\Desktop\projects\algonaidPlatform\algonaid_mobile_app\lib\features\exams\presentation\widgets\results_summary_card.dart", "Dart", 86, 0, 0, 4, 90
