Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 273 files,  19746 codes, 582 comments, 2376 blanks, all 22704 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        256 |     19,626 |        582 |      2,324 |     22,532 |
| Markdown |         17 |        120 |          0 |         52 |        172 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/courseCardShimmer.dart                                      | Dart     |         81 |          2 |          4 |         87 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/loading/shimmer_loading.dart                                        | Dart     |         42 |          0 |          6 |         48 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/app_error_state.dart                                         | Dart     |         56 |          0 |          5 |         61 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/circular_reveal.dart                                         | Dart     |         62 |          0 |         10 |         72 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/expertBadge3D.dart                                           | Dart     |        235 |          5 |         21 |        261 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/heroWidget.dart                                              | Dart     |         30 |          1 |          3 |         34 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/linearProgress.dart                                          | Dart     |         33 |          0 |          3 |         36 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/section_header.dart                                          | Dart     |         17 |          0 |          3 |         20 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/show_dialog.dart                                             | Dart     |        139 |          6 |          9 |        154 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/textform_field.dart                                          | Dart     |        136 |          1 |          9 |        146 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/datasources/auth_remote_datasourse.dart                       | Dart     |         55 |          1 |          7 |         63 |
