Date : 2026-05-28 09:44:00
Directory : /home/bashar/Projects/algonaid_mobile_app/lib
Total : 131 files,  -44938 codes, -231 comments, -270 blanks, all -45439 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         70 |      1,988 |         38 |        104 |      2,130 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/utils/providers/app_providers.dart                                          | Dart       |          2 |          0 |          0 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/core/widgets/shared/show_dialog.dart                                             | Dart       |          5 |          0 |          0 |          5 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/models/auth_models.dart                                       | Dart       |         24 |          0 |          0 |         24 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/data/repositories/auth_repo_impl.dart                              | Dart       |         16 |          0 |          0 |         16 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/domain/entities/user_entity.dart                                   | Dart       |         16 |          0 |          0 |         16 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/auth/presentation/providers/auth_service_provider.dart                  | Dart       |         56 |          0 |          0 |         56 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/datasources/course_local_stroage.dart                      | Dart       |         24 |          0 |          2 |         26 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/data/repositories/courses_repository_impl.dart                  | Dart       |         18 |          0 |          3 |         21 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/pages/courses_page.dart                            | Dart       |         31 |          0 |          0 |         31 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/pages/search_page.dart                             | Dart       |         -2 |          0 |          0 |         -2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/buildCourseCard.dart                       | Dart       |          1 |          1 |          0 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/buildCourseDetails.dart                    | Dart       |         43 |          0 |          0 |         43 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/continue_learning_card.dart                | Dart       |          1 |          0 |          1 |          2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/course_grades_widget.dart                  | Dart       |         25 |          0 |          0 |         25 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/my_courses_section.dart                    | Dart       |          1 |          0 |          0 |          1 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/courses/presentation/widgets/sliver_appbar.dart                         | Dart       |         11 |          0 |          0 |         11 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/downloads/presentation/pages/downloads_page.dart                        | Dart       |         69 |          7 |         -1 |         75 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/datasources/exam_mock_data_source.dart                       | Dart       |       -188 |          0 |        -27 |       -215 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/exam_models.dart                                      | Dart       |         26 |          2 |          2 |         30 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/data/models/exam_models.g.dart                                    | Dart       |          3 |          0 |          0 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/domain/entities/exam_entities.dart                                | Dart       |          3 |          0 |          0 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/pages/exam_intro_page.dart                           | Dart       |          5 |          0 |          0 |          5 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/pages/exam_page.dart                                 | Dart       |          7 |          0 |          0 |          7 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/pages/results_page.dart                              | Dart       |         18 |          1 |          3 |         22 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/exam_intro_content.dart                      | Dart       |         -6 |          1 |          0 |         -5 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/exams/presentation/widgets/exam_widget.dart                             | Dart       |         25 |          0 |          3 |         28 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/controllers/lesson_detail_download_controller.dart | Dart       |          8 |          0 |          2 |         10 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/pages/lesson_detail_page.dart                      | Dart       |        117 |          0 |          7 |        124 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/pages/lesson_pdf_viewer_page.dart                  | Dart       |          9 |          0 |          0 |          9 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/providers/lesson_detail_provider.dart              | Dart       |         40 |          1 |          2 |         43 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lessonHeader.dart                          | Dart       |         -1 |          0 |          0 |         -1 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_detail_app_bar.dart                 | Dart       |         -1 |          0 |          0 |         -1 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_detail_bottom_bar.dart              | Dart       |         13 |          0 |          1 |         14 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_info_card.dart                      | Dart       |         -7 |         -3 |          0 |        -10 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_pdf_card.dart                       | Dart       |        -11 |          1 |          1 |         -9 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_quiz_card.dart                      | Dart       |         -2 |         -1 |          0 |         -3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_tabs.dart                           | Dart       |         -5 |         -1 |          0 |         -6 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/lessons/presentation/widgets/lesson_video_player.dart                   | Dart       |         -2 |          0 |          0 |         -2 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/pages/modules_list_page.dart                       | Dart       |        177 |          0 |          9 |        186 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/buildExpertBadge.dart                      | Dart       |         -3 |          0 |          0 |         -3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/moduleHaeder.dart                          | Dart       |         -3 |          0 |          0 |         -3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/modules/presentation/widgets/module_grades_widget.dart                  | Dart       |         25 |          0 |          0 |         25 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/notifications/presentation/pages/notifications_page.dart                | Dart       |         50 |          0 |          3 |         53 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/datasources/profile_local_datasource.dart                  | Dart       |         30 |          0 |          4 |         34 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/datasources/profile_remote_datasource.dart                 | Dart       |         24 |          0 |          2 |         26 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/models/total_points_model.dart                             | Dart       |          5 |          0 |          1 |          6 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/models/user_profile_model.dart                             | Dart       |         48 |          0 |          5 |         53 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/data/repositories/profile_repository_impl.dart                  | Dart       |         51 |          0 |          4 |         55 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/entities/user_profile_entity.dart                        | Dart       |         16 |          0 |          2 |         18 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/repositories/profile_repository.dart                     | Dart       |          3 |          0 |          0 |          3 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/usecases/get_user_profile_usecase.dart                   | Dart       |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/domain/usecases/update_user_profile_usecase.dart                | Dart       |         11 |          0 |          4 |         15 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/pages/about_page.dart                              | Dart       |        296 |          5 |         10 |        311 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/pages/developers_page.dart                         | Dart       |        333 |          3 |         20 |        356 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/providers/profile_provider.dart                    | Dart       |         52 |          0 |          9 |         61 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/badges_section.dart                        | Dart       |         41 |          7 |          1 |         49 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/edit_profile_dialog.dart                   | Dart       |        262 |          5 |         18 |        285 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/excellence_courses_section.dart            | Dart       |        -35 |          0 |          0 |        -35 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/profile_header.dart                        | Dart       |        162 |         12 |         14 |        188 |
| /home/bashar/Projects/algonaid_mobile_app/lib/features/profile/presentation/widgets/settings_section.dart                      | Dart       |         85 |          4 |          8 |         97 |
| /home/bashar/Projects/algonaid_mobile_app/linux/CMakeLists.txt                                                                 | CMake      |       -111 |          0 |        -27 |       -138 |
| /home/bashar/Projects/algonaid_mobile_app/linux/flutter/CMakeLists.txt                                                         | CMake      |        -79 |          0 |        -10 |        -89 |
| /home/bashar/Projects/algonaid_mobile_app/linux/runner/CMakeLists.txt                                                          | CMake      |        -21 |          0 |         -6 |        -27 |
| /home/bashar/Projects/algonaid_mobile_app/linux/runner/main.cc                                                                 | C++        |         -5 |          0 |         -2 |         -7 |
| /home/bashar/Projects/algonaid_mobile_app/linux/runner/my_application.cc                                                       | C++        |        -91 |        -25 |        -29 |       -145 |
| /home/bashar/Projects/algonaid_mobile_app/linux/runner/my_application.h                                                        | C++        |         -7 |         -7 |         -5 |        -19 |
| /home/bashar/Projects/algonaid_mobile_app/macos/Runner/AppDelegate.swift                                                       | Swift      |        -11 |          0 |         -3 |        -14 |
| /home/bashar/Projects/algonaid_mobile_app/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                        | JSON       |        -68 |          0 |         -1 |        -69 |
| /home/bashar/Projects/algonaid_mobile_app/macos/Runner/Base.lproj/MainMenu.xib                                                 | XML        |       -343 |          0 |         -1 |       -344 |
| /home/bashar/Projects/algonaid_mobile_app/macos/Runner/MainFlutterWindow.swift                                                 | Swift      |        -12 |          0 |         -4 |        -16 |
